iter	Passed	Remaining
874	24128	251626
875	24159	251633
876	24188	251617
877	24216	251597
878	24246	251590
879	24275	251579
880	24305	251578
881	24335	251574
882	24365	251572
883	24394	251558
884	24428	251595
885	24456	251576
886	24486	251576
887	24517	251580
888	24549	251599
889	24552	251322
890	24582	251315
891	24614	251328
892	24645	251343
893	24676	251347
894	24682	251100
895	24713	251107
896	24741	251080
897	24771	251079
898	24801	251072
899	24831	251074
900	24860	251058
901	24897	251125
902	24927	251120
903	24957	251118
904	24986	251110
905	25018	251122
906	25047	251107
907	25079	251122
908	25109	251118
909	25139	251122
910	25170	251125
911	25202	251141
912	25232	251140
913	25264	251151
914	25295	251160
915	25330	251202
916	25362	251220
917	25393	251223
918	25423	251215
919	25454	251220
920	25483	251215
921	25514	251214
922	25544	251210
923	25575	251213
924	25606	251224
925	25639	251243
926	25670	251252
927	25698	251228
928	25729	251232
929	25790	251531
930	25884	252147
931	25931	252300
932	25977	252448
933	26033	252700
934	26070	252754
935	26106	252812
936	26145	252889
937	26176	252895
938	26208	252903
939	26242	252932
940	26272	252923
941	26301	252906
942	26330	252891
943	26357	252857
944	26387	252843
945	26416	252827
946	26444	252797
947	26473	252782
948	26512	252863
949	26543	252863
950	26571	252838
951	26601	252824
952	26631	252817
953	26662	252816
954	26691	252796
955	26720	252786
956	26752	252796
957	26789	252849
958	26818	252829
959	26859	252922
960	26888	252911
961	26917	252894
962	26944	252850
963	26973	252830
964	27002	252819
965	27038	252867
966	27067	252847
967	27096	252830
968	27125	252802
969	27155	252795
970	27185	252784
971	27215	252778
972	27244	252761
973	27280	252806
974	27309	252790
975	27338	252769
976	27368	252757
977	27398	252746
978	27428	252737
979	27458	252727
980	27499	252819
981	27534	252855
982	27563	252837
983	27593	252825
984	27620	252794
985	27650	252780
986	27678	252747
987	27707	252735
988	27735	252703
989	27763	252677
990	27802	252748
991	27838	252788
992	27867	252771
993	27897	252758
994	27927	252753
995	27962	252786
996	28006	252904
997	28055	253063
998	28093	253120
999	28123	253115
1000	28152	253091
1001	28181	253068
1002	28211	253055
1003	28246	253091
1004	28277	253092
1005	28317	253167
1006	28347	253159
1007	28377	253148
1008	28407	253133
1009	28436	253117
1010	28474	253171
1011	28506	253176
1012	28545	253244
1013	28576	253244
1014	28605	253225
1015	28639	253247
1016	28672	253262
1017	28703	253260
1018	28739	253295
1019	28772	253311
1020	28818	253439
1021	28851	253453
1022	28884	253465
1023	28915	253462
1024	28947	253468
1025	28982	253494
1026	29014	253505
1027	29046	253503
1028	29083	253559
1029	29113	253540
1030	29144	253538
1031	29176	253539
1032	29207	253536
1033	29237	253521
1034	29267	253508
1035	29297	253500
1036	29340	253592
1037	29370	253579
1038	29399	253562
1039	29430	253551
1040	29461	253546
1041	29489	253517
1042	29524	253550
1043	29552	253515
1044	29593	253598
1045	29621	253565
1046	29649	253537
1047	29678	253516
1048	29707	253493
1049	29736	253472
1050	29767	253459
1051	29794	253426
1052	29833	253482
1053	29861	253457
1054	29889	253423
1055	29919	253405
1056	29945	253364
1057	29976	253355
1058	30006	253342
1059	30037	253332
1060	30064	253294
1061	30108	253401
1062	30142	253415
1063	30171	253397
1064	30200	253374
1065	30228	253342
1066	30258	253326
1067	30285	253284
1068	30288	253045
1069	30317	253026
